Disease,Precaution_1,Precaution_2,Precaution_3,Precaution_4
Drug Reaction,Hentikan iritasi,Konsultasikan ke rumah sakit terdekat,Hentikan konsumsi obat,Lakukan pemeriksaan lanjutan
Malaria,Konsultasikan ke rumah sakit terdekat,Hindari makanan berminyak,Hindari makanan non-vegetarian,Jauhkan nyamuk
Allergy,Oleskan calamine,Tutup area dengan perban,Makan makanan sehat,Gunakan es untuk mengompres rasa gatal
Hypothyroidism,Kurangi stres,Berolahraga,Konsultasikan ke dokter,Dapatkan tidur yang cukup
Psoriasis,Cuci tangan dengan air hangat dan sabun,Hentikan pendarahan dengan memberikan tekanan,Jaga berat badan yang sehat,Mandi dengan air garam
GERD,Hindari makanan berlemak dan pedas,Hindari berbaring setelah makan,Konsultasikan ke dokter,Berolahraga
Chronic cholestasis,Mandi dengan air dingin,Gunakan obat anti-gatal,Hindari makanan berlemak dan pedas,Makan makanan sehat
hepatitis A,Konsultasikan ke rumah sakit terdekat,Cuci tangan dengan bersih,Lakukan pemeriksaan lanjutan,Minum obat
Osteoarthristis,Gunakan acetaminophen,Konsultasikan ke rumah sakit terdekat,Hindari gerakan kepala yang tiba-tiba,Mandi dengan air garam
(vertigo) Paroymsal  Positional Vertigo,Berbaring,Hindari perubahan mendadak pada tubuh,Minum minuman manis,Relaksasi
Hypoglycemia,Berbaring miring,Periksa denyut nadi,Minum banyak air,Konsultasikan ke dokter
Acne,Mandi dua kali sehari,Hindari makanan berlemak dan pedas,Konsultasikan ke dokter,Hindari terlalu banyak produk
Diabetes ,Miliki pola makan seimbang,Berolahraga,Hilangkan kerak dengan kain basah dan terkompres,Lakukan pemeriksaan lanjutan
Impetigo,Rendam area yang terkena di air hangat,Gunakan antibiotik,Kurangi stres,Konsultasikan ke dokter
Hypertension ,Meditasi,Mandi dengan air garam,Hindari susu,Dapatkan tidur yang cukup
Peptic ulcer diseae,Hindari makanan berlemak dan pedas,Konsumsi makanan probiotik,Mandi air hangat dengan garam epsom,Batasi konsumsi alkohol
Dimorphic hemmorhoids(piles),Hindari makanan berlemak dan pedas,Konsumsi witch hazel,Hindari makanan dingin,Konsumsi jus lidah buaya
Common Cold,Minum minuman kaya vitamin C,Hirup uap,Lakukan vaksinasi,Jaga demam agar tetap terkendali
Chicken pox,Gunakan daun neem untuk mandi,Konsumsi daun neem,Konsumsi pereda nyeri tanpa resep,Hindari tempat umum
Cervical spondylosis,Gunakan bantalan pemanas atau kompres dingin,Berolahraga,Gunakan lemon balm,Konsultasikan ke dokter
Hyperthyroidism,Makan makanan sehat,Pijat,Minum jus cranberry,Jalani perawatan yodium radioaktif
Urinary tract infection,Minum banyak air,Tingkatkan asupan vitamin C,Gunakan kompresi vena,Konsumsi probiotik
Varicose veins,Berbaring dengan kaki terangkat,Gunakan salep,Konsultasikan ke dokter,Jangan berdiri diam terlalu lama
AIDS,Hindari luka terbuka,Gunakan alat pelindung diri jika memungkinkan,Berolahraga,Lakukan pemeriksaan lanjutan
Paralysis (brain hemorrhage),Pijat,Makan makanan sehat,Konsultasikan ke dokter,Konsultasikan ke dokter
Typhoid,Konsumsi sayuran tinggi kalori,Terapi antibiotik,Makan makanan sehat,Minum obat
Hepatitis B,Konsultasikan ke rumah sakit terdekat,Vaksinasi,Jaga area yang terinfeksi tetap kering,Minum obat
Fungal infection,Mandi dua kali sehari,Gunakan detol atau neem dalam air mandi,Makan makanan sehat,Gunakan pakaian bersih
Hepatitis C,Konsultasikan ke rumah sakit terdekat,Vaksinasi,Gunakan kacamata polaroid saat matahari,Minum obat
Migraine,Meditasi,Kurangi stres,Hindari pemicu,Konsultasikan ke dokter
Bronchial Asthma,Beralih ke pakaian longgar,Tarik napas dalam-dalam,Minum obat,Cari bantuan
Alcoholic hepatitis,Hentikan konsumsi alkohol,Konsultasikan ke dokter,Makan buah-buahan dan makanan tinggi serat,Lakukan pemeriksaan lanjutan
Jaundice,Minum banyak air,Konsumsi milk thistle,Konsultasikan ke dokter,Minum obat
Hepatitis E,Hentikan konsumsi alkohol,Istirahat,Jauhkan nyamuk,Minum obat
Dengue,Minum jus daun pepaya,Hindari makanan berlemak dan pedas,Makan makanan sehat,Jaga tubuh tetap terhidrasi
Hepatitis D,Konsultasikan ke dokter,Minum obat,Jaga ketenangan,Lakukan pemeriksaan lanjutan
Heart attack,Hubungi ambulans,Kunyah atau telan aspirin,Istirahat,Lakukan pemeriksaan lanjutan
Pneumonia,Konsultasikan ke dokter,Minum obat,Cobalah akupunktur,Lakukan pemeriksaan lanjutan
Arthritis,Berolahraga,Gunakan terapi panas dan dingin,Istirahat,Pijat
Gastroenteritis,Hentikan konsumsi makanan padat sementara waktu,Cobalah minum sedikit air perlahan,Minum obat,Perlahan-lahan kembali makan
Tuberculosis,Tutup mulut,Konsultasikan ke dokter,medication,Istirahat
